"Species"
"pachira sessilis"
"podocarpus guatemalensis"
"podocarpus oleifolius"
"pogonopus exsertus"
"posoqueria sp.1_(hojas_chicas)"
"posoqueria latifolia"
"poulsenia armata"
"pourouma bicolor"
"pourouma minor"
"pouteria sp.10"
"pouteria sp.17"
"pouteria sp.18"
"pouteria sp.20"
"pouteria sp.21"
"pouteria sp.23"
"pouteria sp.27"
"pouteria sp.28"
"pouteria sp.3"
"pouteria sp.30"
"pouteria sp.4"
"pouteria sp.7"
"pouteria sp.8"
"pouteria sp.9"
"pouteria bulliformis"
"pouteria buenaventurensis"
"pouteria calistophylla"
"pouteria campechiana"
"pouteria congestifolia"
"pouteria cuspidata"
"pouteria durlandii"
"pouteria foveolata"
"pouteria fossicola"
"pouteria glomerata"
"pouteria leptopedicellata"
"pouteria reticulata"
"pouteria sclerocarpa.aff"
"pouteria stipitata"
"pouteria silvestris"
"pouteria torta"
"prestoea decurrens"
"prioria copaifera"
"prockia crucis"
"protium costaricense"
"protium glabrum"
"protium aff.guianense"
"protium panamense"
"protium confusum"
"protium tenuifolium"
"protium trifoliolatum"
"pseudobombax septenatum"
"pseudolmedia laevigata"
"pseudolmedia spuria"
"pseudima frutescens"
"psidium friedrichsthalianum"
"psychotria sp.4"
"psychotria acuminata"
"psychotria allenii"
"psychotria brachiata"
"psychotria brachybotrya"
"psychotria capitata"
"psychotria calophylla"
"psychotria chagrensis"
"psychotria cincta"
"psychotria deflexa"
"psychotria elata"
"psychotria erecta"
"psychotria hoffmannseggiana"
"psychotria graciliflora"
"psychotria tenuifolia"
"psychotria grandis"
"psychotria horizontalis"
"psychotria limonensis"
"psychotria luxurians"
"psychotria marginata"
"psychotria panamensis"
"psychotria cyanococca"
"psychotria poeppigiana"
"psychotria psychotriifolia"
"psychotria racemosa"
"psychotria santaritensis"
"psychotria suerrensis"
"psychotria umbelliformis"
"pterocarpus sp.2"
"pterocarpus sp.3"
"pterocarpus acapulcensis"
"pterocarpus officinalis"
"pterocarpus rohrii"
"qualea polychroma"
"quararibea sp.3"
"quararibea asterolepis"
"matisia obliquifolia"
"quararibea platyphylla"
"quassia amara"
"quetzalia occidentalis"
"quiina schippii"
"randia sp.2"
"randia sp.3"
"randia armata"
"rosenbergiodendron formosum"
"randia grandifolia"
"randia hondensis"
"rauvolfia littoralis"
"rinorea sp.2"
"rinorea sp.3"
"rinorea sp.4"
"rinorea apiculata"
"rinorea dasyadena"
"rinorea hummelii"
"rinorea lindeniana"
"rinorea squamata"
"rinorea sylvatica"
"rollinia pittieri"
"roupala montana"
"unidentified sp.6"
"rudgea sp.1"
"rudgea cornifolia"
"rudgea pittieri"
"ruprechtia costata"
"ruptiliocarpon caracolito"
"ryania speciosa"
"sacoglottis ovicarpa"
"sacoglottis trichogyna"
"salacia juruana"
"salacia petenensis"
"samanea saman"
"sapindus saponaria"
"unidentified sp.3"
"unidentified sp.4"
"unidentified sp.5"
"unidentified sp.6"
"unidentified sp.7"
"unidentified sp.8"
"sapium sp.2"
"sapium glandulosum"
"sapium laurifolium"
"sapium broadleaf"
"sarcaulus brasiliensis"
"saurauia yasicae"
"attalea butyracea"
"schefflera morototoni"
"schizolobium parahyba"
"sciadodendron excelsum"
"sclerolobium costaricense"
"senna dariensis"
"sideroxylon cf.contrerasii"
"sideroxylon persimile"
"simaba polyphylla"
"simarouba amara"
"siparuna sp.3"
"siparuna cuspidata"
"siparuna guianensis"
"siparuna pauciflora"
"sloanea sp.5"
"sloanea sp.6"
"sloanea sp.7"
"sloanea sp.8"
"sloanea sp.9"
"sloanea laurifolia"
"sloanea meianthera"
"sloanea medusula"
"sloanea megaphylla"
"sloanea terniflora"
"sloanea zuliaensis"
"socratea exorrhiza"
"solanum sp.3"
"solanum arboreum"
"solanum asperum"
"solanum cordovense"
"solanum hayesii"
"solanum steyermarkii"
"sorocea affinis"
"sorocea pubivena"
"spachea membranacea"
"spondias dulcis"
"spondias mombin"
"spondias radlkoferi"
"stemmadenia sp.1"
"stemmadenia sp.3"
"stemmadenia grandiflora"
"sterculia sp.2"
"sterculia apetala"
"sterculia costaricana"
"sterculia recordiana"
"stylogyne turbacensis"
"swartzia panamensis"
"swartzia simplex"
"swietenia macrophylla"
"symphonia globulifera"
"synechanthus warscewiczianus"
"tabebuia guayacan"
"tabebuia ochracea"
"tabebuia rosea"
"tabernaemontana arborea"
"tabernaemontana panamensis"
"tabernaemontana longipes"
"tabernaemontana undulata"
"tachigali versicolor"
"talauma gloriensis"
"talauma sambuensis"
"talisia nervosa"
"talisia croatii"
"tapirira guianensis"
"tapura cubensis"
"terminalia sp.1"
"terminalia amazonia"
"terminalia oblonga"
"ternstroemia tepezapote"
"tetragastris panamensis"
"tetrathylacium johansenii"
"tetrathylacium macrophyllum"
"tetrorchidium euryphyllum"
"tetrorchidium gorgonae"
"theobroma bernoullii"
"theobroma cacao"
"theobroma simiarum"
"theobroma speciosum"
"thevetia ahouai"
"tococa guianensis"
"tocoyena pittieri"
"tovomita sp.1"
"tovomita longifolia"
"tovomita stylosa"
"tovomita weddelliana"
"trattinnickia aspera"
"trattinnickia burserifolia"
"trema integerrima"
"trema micrantha"
"trichanthera gigantea"
"trichilia hirta"
"trichilia pallida"
